Timestamp,DAQ_KEEPER_I,DAQ_LP_V,ps_1_voltage,ps_1_current,ps_1_output_state,ps_2_voltage,ps_2_current,ps_2_output_state,tdk_timestamp,tdk_age_s,tdk_status,voltage_sum
1778278300.0,0.50,1.20,120.0,0.210,ON,0.0,0.000,OFF,1778278299.8,0.2,fresh,120.0
1778278301.0,0.75,1.24,140.0,0.310,ON,0.0,0.000,OFF,1778278300.7,0.3,fresh,140.0
1778278302.0,1.00,1.29,160.0,0.410,ON,0.0,0.000,OFF,1778278301.8,0.2,fresh,160.0
1778278303.0,1.25,1.33,180.0,0.510,ON,0.0,0.000,OFF,1778278302.7,0.3,fresh,180.0
1778278304.0,1.50,1.37,200.0,0.610,ON,0.0,0.000,OFF,1778278303.8,0.2,fresh,200.0
1778278305.0,1.75,1.41,220.0,0.710,ON,0.0,0.000,OFF,1778278304.7,0.3,fresh,220.0
1778278306.0,2.00,1.46,240.0,0.810,ON,0.0,0.000,OFF,1778278305.8,0.2,fresh,240.0
1778278307.0,2.25,1.50,260.0,0.910,ON,0.0,0.000,OFF,1778278306.7,0.3,fresh,260.0
1778278308.0,2.50,1.55,280.0,1.010,ON,0.0,0.000,OFF,1778278307.8,0.2,fresh,280.0
1778278309.0,2.75,1.59,300.0,1.110,ON,0.0,0.000,OFF,1778278308.7,0.3,fresh,300.0
1778278310.0,3.00,1.64,320.0,1.210,ON,0.0,0.000,OFF,1778278309.8,0.2,fresh,320.0
