,,,,,,,,,,,,,,
,EP ,24/07,,,,,,,,,,,,
,GROUNDED,,,,,,,,,,,,,
,V,I,,,,,,,,,,,,
,0.19,1.03,,,,,,,,,,,,
,0.32,1.5,,,,,,,,,,,,
,0.52,2,,,,,,,,,,,,
,0.81,2.5,,,,,,,,,,,,
,1.1,3,,,,,,,,,,,,
,1.25,3.25,,,,,,,,,,,,
,1.3,3.5,,,,,,,,,,,,
,1.46,3.75,,,,,,,,,,,,
,1.58,4,,,,,,,,,,,,
,1.68,4.25,,,,,,,,,,,,
,1.73,4.5,,,,,,,,,,,,
,1.84,4.75,,,,,,,,,,,,
,1.97,5,,,,,,,,,,,,
,2.15,5.25,,,,,,,,,,,,
,,5.5,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,FLOATING,,,,,,,,,,,,,
,V,I,,,,,,,,,,,Floating,
,0.6,1,,,,,,,,,,,V,I
,0.5,1.5,,,,,,,,,,,6,1
,0.5,2,,,,,,,,,,,6,1.5
,0.4,2.5,,,,,,,,,,,6.2,2
,0.35,3,,,,,,,,,,,7.3,2.5
,2,3.25,,,,,,,,,,,13.8,3
,9.2,3.5,,,,,,,,,,,16,3.25
,11.5,3.75,,,,,,,,,,,18.9,3.5
,12.6,4,,,,,,,,,,,20.1,3.75
,13.3,4.25,,,,,,,,,,,20.5,4
,13.7,4.5,,,,,,,,,,,20.8,4.25
,14,4.75,,,,,,,,,,,21,4.5
,14.3,5,,,,,,,,,,,21.3,4.75
,,5.25,,,,,,,,,,,21.7,5
,,5.5,,,,,,,,,,,,5.25
,,,,,,,,,,,,,,5.5
