Timestamp,Sweep_V,Picoammeter_I
1.79E+12,5,-5.91E-09
1.79E+12,5.1,1.18E-08
1.79E+12,5.2,1.31E-08
1.79E+12,5.3,-1.24E-08
1.79E+12,5.4,-2.66E-09
1.79E+12,5.5,5.54E-09
1.79E+12,5.6,-1.27E-08
1.79E+12,5.7,-1.28E-08
1.79E+12,5.8,-4.46E-09
1.79E+12,5.9,-1.07E-08
1.79E+12,6,-6.89E-09
1.79E+12,6.1,-1.23E-08
1.79E+12,6.2,-1.21E-08
1.79E+12,6.3,1.17E-08
1.79E+12,6.4,2.18E-09
1.79E+12,6.5,-5.01E-09
1.79E+12,6.6,1.31E-08
1.79E+12,6.7,-1.22E-08
1.79E+12,6.8,-4.68E-09
1.79E+12,6.9,-8.12E-09
1.79E+12,7,-6.56E-09
1.79E+12,7.1,1.10E-08
1.79E+12,7.2,7.26E-09
1.79E+12,7.3,-9.78E-09
1.79E+12,7.4,-4.81E-09
1.79E+12,7.5,1.19E-08
1.79E+12,7.6,-5.44E-09
1.79E+12,7.7,9.33E-09
1.79E+12,7.8,6.83E-09
1.79E+12,7.9,1.04E-08
1.79E+12,8,-3.85E-09
1.79E+12,8.1,1.28E-08
1.79E+12,8.2,-1.14E-08
1.79E+12,8.3,1.25E-08
1.79E+12,8.4,-8.60E-09
1.79E+12,8.5,8.85E-09
1.79E+12,8.6,1.25E-08
1.79E+12,8.7,-1.23E-08
1.79E+12,8.8,-6.09E-09
1.79E+12,8.9,-1.26E-08
1.79E+12,9,8.98E-09
1.79E+12,9.1,3.57E-09
1.79E+12,9.2,-1.24E-08
1.79E+12,9.3,1.15E-08
1.79E+12,9.4,-1.09E-08
1.79E+12,9.5,1.16E-08
1.79E+12,9.6,1.00E-08
1.79E+12,9.7,-2.97E-09
1.79E+12,9.8,-1.03E-08
1.79E+12,9.9,-7.33E-09
1.79E+12,10,1.29E-08
1.79E+12,10.1,-6.33E-09
1.79E+12,10.2,1.00E-08
1.79E+12,10.3,-7.45E-09
1.79E+12,10.4,9.55E-09
1.79E+12,10.5,-6.95E-09
1.79E+12,10.6,1.32E-08
1.79E+12,10.7,-1.08E-08
1.79E+12,10.8,1.17E-08
1.79E+12,10.9,-9.24E-09
1.79E+12,11,1.24E-08
1.79E+12,11.1,-1.24E-08
1.79E+12,11.2,-6.74E-09
1.79E+12,11.3,3.26E-09
1.79E+12,11.4,-8.29E-09
1.79E+12,11.5,-1.17E-08
1.79E+12,11.6,1.29E-08
1.79E+12,11.7,-1.19E-08
1.79E+12,11.8,-1.27E-08
1.79E+12,11.9,4.02E-09
1.79E+12,12,1.28E-08
1.79E+12,12.1,7.28E-09
1.79E+12,12.2,-1.19E-08
1.79E+12,12.3,1.10E-08
1.79E+12,12.4,-1.28E-08
1.79E+12,12.5,-7.25E-09
1.79E+12,12.6,-1.29E-08
1.79E+12,12.7,-1.04E-08
1.79E+12,12.8,2.00E-09
1.79E+12,12.9,-8.23E-09
1.79E+12,13,-8.99E-09
1.79E+12,13.1,-9.61E-09
1.79E+12,13.2,1.05E-08
1.79E+12,13.3,1.17E-08
1.79E+12,13.4,-1.09E-08
1.79E+12,13.5,-9.65E-09
1.79E+12,13.6,1.11E-08
1.79E+12,13.7,-1.27E-08
1.79E+12,13.8,8.29E-09
1.79E+12,13.9,1.26E-08
1.79E+12,14,7.26E-09
1.79E+12,14.1,5.22E-09
1.79E+12,14.2,1.27E-08
1.79E+12,14.3,-1.18E-08
1.79E+12,14.4,-1.01E-08
1.79E+12,14.5,-1.27E-08
1.79E+12,14.6,8.98E-09
1.79E+12,14.7,-1.26E-08
1.79E+12,14.8,-1.28E-08
1.79E+12,14.9,-6.04E-09
1.79E+12,15,1.27E-08
1.79E+12,15.1,1.00E-08
1.79E+12,15.2,9.32E-09
1.79E+12,15.3,1.28E-08
1.79E+12,15.4,-1.27E-08
1.79E+12,15.5,9.95E-09
1.79E+12,15.6,2.74E-09
1.79E+12,15.7,-1.16E-08
1.79E+12,15.8,9.56E-09
1.79E+12,15.9,-4.18E-09
1.79E+12,16,-1.28E-08
1.79E+12,16.1,-8.72E-09
1.79E+12,16.2,-1.15E-08
1.79E+12,16.3,-6.92E-09
1.79E+12,16.4,-5.68E-09
1.79E+12,16.5,-1.29E-08
1.79E+12,16.6,9.93E-09
1.79E+12,16.7,-1.29E-08
1.79E+12,16.8,7.23E-09
1.79E+12,16.9,1.27E-08
1.79E+12,17,5.93E-09
1.79E+12,17.1,1.08E-08
1.79E+12,17.2,1.29E-08
1.79E+12,17.3,-1.15E-08
1.79E+12,17.4,5.34E-09
1.79E+12,17.5,2.98E-09
1.79E+12,17.6,3.91E-09
1.79E+12,17.7,-3.06E-09
1.79E+12,17.8,9.52E-09
1.79E+12,17.9,1.15E-08
1.79E+12,18,1.22E-08
1.79E+12,18.1,7.53E-09
1.79E+12,18.2,8.13E-09
1.79E+12,18.3,2.92E-09
1.79E+12,18.4,4.43E-09
1.79E+12,18.5,2.58E-09
1.79E+12,18.6,-1.29E-08
1.79E+12,18.7,1.25E-08
1.79E+12,18.8,1.14E-08
1.79E+12,18.9,-1.23E-08
1.79E+12,19,-8.80E-09
1.79E+12,19.1,1.02E-08
1.79E+12,19.2,4.98E-09
1.79E+12,19.3,-1.22E-08
1.79E+12,19.4,1.13E-08
1.79E+12,19.5,1.26E-08
1.79E+12,19.6,1.20E-08
1.79E+12,19.7,-9.96E-09
1.79E+12,19.8,5.66E-09
1.79E+12,19.9,-1.13E-08
1.79E+12,20,-4.81E-09
1.79E+12,20.1,1.24E-08
1.79E+12,20.2,1.29E-08
1.79E+12,20.3,-1.07E-08
1.79E+12,20.4,1.23E-08
1.79E+12,20.5,-1.26E-08
1.79E+12,20.6,2.04E-09
1.79E+12,20.7,-1.20E-08
1.79E+12,20.8,1.25E-08
1.79E+12,20.9,-9.06E-09
1.79E+12,21,1.28E-08
1.79E+12,21.1,-8.69E-09
1.79E+12,21.2,-2.29E-09
1.79E+12,21.3,-1.30E-08
1.79E+12,21.4,-1.04E-08
1.79E+12,21.5,9.28E-09
1.79E+12,21.6,1.25E-08
1.79E+12,21.7,-6.37E-09
1.79E+12,21.8,-1.25E-08
1.79E+12,21.9,3.56E-09
1.79E+12,22,-7.96E-09
1.79E+12,22.1,1.10E-08
1.79E+12,22.2,-1.30E-08
1.79E+12,22.3,-3.19E-09
1.79E+12,22.4,1.29E-08
1.79E+12,22.5,-8.67E-09
1.79E+12,22.6,-3.66E-09
1.79E+12,22.7,-1.28E-08
1.79E+12,22.8,-1.30E-08
1.79E+12,22.9,-3.38E-09
1.79E+12,23,9.94E-09
1.79E+12,23.1,7.79E-09
1.79E+12,23.2,6.36E-09
1.79E+12,23.3,1.18E-08
1.79E+12,23.4,5.72E-09
1.79E+12,23.5,-3.46E-09
1.79E+12,23.6,-1.15E-08
1.79E+12,23.7,1.28E-08
1.79E+12,23.8,-1.28E-08
1.79E+12,23.9,1.29E-08
1.79E+12,24,6.37E-09
1.79E+12,24.1,-5.30E-09
1.79E+12,24.2,8.44E-09
1.79E+12,24.3,1.20E-08
1.79E+12,24.4,1.29E-08
1.79E+12,24.5,-1.24E-08
1.79E+12,24.6,2.82E-09
1.79E+12,24.7,-1.25E-08
1.79E+12,24.8,1.07E-08
