timestamp,ps_1_voltage,ps_1_current,ps_1_output_state,ps_1_oper_cond,ps_1_oper_flags,ps_1_ques_cond,ps_1_fault_flags,ps_1_status_byte,ps_1_errors,ps_2_voltage,ps_2_current,ps_2_output_state,ps_2_oper_cond,ps_2_oper_flags,ps_2_ques_cond,ps_2_fault_flags,ps_2_status_byte,ps_2_errors,,,,Timestamp,V,I,LP,n
1775248131,0.019,0.84099,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,161.21,1.3124,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248128,1.91E-02,1.87E-03,2.07E-03,-1.69E-03
1775248132,9.976,1.31244,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,161.74,1.3125,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248128,1.92E-02,1.83E-03,-6.74E-04,-1.45E-03
1775248132,9.531,1.31246,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,163.83,1.3125,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248129,1.91E-02,1.81E-03,-5.57E-04,-1.41E-03
1775248133,9.021,1.31246,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,166.18,1.3125,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248129,1.91E-02,1.83E-03,-2.76E-04,-1.40E-03
1775248134,8.88,1.31246,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,167.77,1.3125,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248130,1.94E-02,1.90E-03,4.94E-03,-1.24E-03
1775248135,9.205,1.31246,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,164.46,1.3125,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248130,1.91E-02,1.89E-03,7.35E-04,-1.37E-03
1775248136,6.719,1.31246,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,178,1.3126,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248131,1.95E-02,1.87E-03,-3.79E-04,-1.09E-03
1775248137,16.415,1.31231,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,167.42,1.3124,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248131,1.93E-02,1.86E-03,3.37E-01,5.98E-04
1775248137,7.848,1.31281,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,682.01,0.0088,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,,,,1775248132,1.98E+00,1.31E+00,2.27E+01,1.41E-03
1775248138,11.019,1.3125,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,682.49,0.008,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,,,,1775248132,1.89E+00,1.31E+00,2.22E+01,2.01E-03
1775248139,12.376,1.31289,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,682.49,0.0081,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248133,1.93E+00,1.31E+00,2.28E+01,1.75E-03
1775248140,7.805,1.3125,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,169.02,1.3125,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248133,1.97E+00,1.31E+00,2.31E+01,1.97E-03
1775248140,5.242,1.31248,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,169.71,1.3125,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248134,2.03E+00,1.31E+00,2.34E+01,2.17E-03
1775248141,10.715,1.31264,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,682.48,0.0078,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248134,2.11E+00,1.31E+00,2.36E+01,4.54E-03
1775248142,11.963,1.31246,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,682.49,0.0075,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,,,,1775248135,1.96E+00,1.31E+00,2.25E+01,6.08E-03
1775248143,11.605,1.31248,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,682.49,0.0076,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,,,,1775248135,2.26E+00,1.31E+00,2.13E+01,1.93E-02
1775248143,12.083,1.31254,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,276.21,1.2762,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,,,,1775248136,1.91E+00,1.31E+00,1.41E+01,5.18E-03
1775248144,12.083,1.3125,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,173.11,1.3133,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,,,,1775248136,2.01E+00,1.31E+00,1.37E+01,3.27E-02
1775248145,12.148,1.31237,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,172.53,1.3125,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248137,2.51E+00,1.38E+00,9.90E+37,-1.01E-01
1775248146,4.764,1.31246,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,169.54,1.3125,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248137,2.06E+00,1.31E+00,1.33E+01,-3.39E-02
1775248146,3.233,1.31246,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,166.01,1.3128,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248138,3.18E+00,1.30E+00,6.30E+00,2.96E-02
1775248147,4.124,1.31344,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,164.37,1.2735,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248138,3.93E+01,6.32E-03,1.63E-01,6.01E-03
1775248148,11.181,1.3126,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,682.49,0.0076,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,,,,1775248139,3.95E+01,6.42E-03,1.75E-01,5.43E-03
1775248149,11.996,1.31246,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,682.5,0.0078,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,,,,1775248139,3.95E+01,6.59E-03,1.71E-01,4.38E-03
1775248150,11.692,1.3125,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,682.48,1.1035,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,,,,1775248140,2.32E+01,1.32E+00,7.53E+00,-1.75E-02
1775248150,11.833,1.31239,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,682.49,0.0083,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,,,,1775248140,2.94E+00,1.32E+00,5.33E+00,-1.53E-03
1775248151,9.325,1.31323,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,172.36,1.3146,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248141,2.03E+00,1.31E+00,6.73E+00,-6.56E-05
1775248152,6.393,0.03347,OFF,6,"CC_MODE,NO_FAULT",0,NONE,0,,175.74,1.3127,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248141,2.11E+00,1.31E+00,9.90E+37,-6.91E-02
1775248153,0,0.01155,OFF,4,NO_FAULT,0,NONE,0,,171.05,1.3125,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248142,3.91E+01,6.13E-03,4.90E-01,6.71E-03
1775248154,0,0.01143,OFF,4,NO_FAULT,0,NONE,0,,160.41,1.3125,ON,6,"CC_MODE,NO_FAULT",0,NONE,0,,,,,1775248142,3.96E+01,6.27E-03,1.98E-01,6.67E-03
1775248154,0,0,OFF,4,NO_FAULT,0,NONE,0,,682.49,0.0072,ON,5,"CV_MODE,NO_FAULT",0,NONE,0,,,,,1775248143,3.95E+01,6.17E-03,2.00E-01,5.98E-03
