ts,ps_1_voltage,ps_2_voltage,ps_1_current,ps_2_current,ps_1_output_state,ps_2_output_state,V,I
1775248130.8992531,0.019,161.21,0.84099,1.3124,ON,ON,0.0193103198,0.00186169066
1775248131.8564255,9.976,161.74,1.31244,1.3125,ON,ON,1.98224711,1.31164443
1775248132.4800963,9.531,163.83,1.31246,1.3125,ON,ON,1.93255436,1.31158817
1775248133.413933,9.021,166.18,1.31246,1.3125,ON,ON,2.03410912,1.31244218
1775248134.0353343,8.88,167.77,1.31246,1.3125,ON,ON,2.11289072,1.31209004
1775248134.9686117,9.205,164.46,1.31246,1.3125,ON,ON,2.26218939,1.31176305
1775248135.590322,6.719,178.0,1.31246,1.3126,ON,ON,1.91447449,1.31145763
1775248136.5197794,16.415,167.42,1.31231,1.3124,ON,ON,2.51210594,1.37765265
1775248137.140525,7.848,682.01,1.31281,0.0088,ON,ON,2.05928612,1.30579674
1775248138.0691576,11.019,682.49,1.3125,0.008,ON,ON,39.3136978,0.00632476434
1775248138.6928427,12.376,682.49,1.31289,0.0081,ON,ON,39.4883881,0.00642298535
1775248139.6235569,7.805,169.02,1.3125,1.3125,ON,ON,23.2131367,1.31617343
1775248140.2429495,5.242,169.71,1.31248,1.3125,ON,ON,2.9388566,1.3152535
1775248141.1698945,10.715,682.48,1.31264,0.0078,ON,ON,2.10531569,1.31386042
1775248141.7983956,11.963,682.49,1.31246,0.0075,ON,ON,39.0715599,0.00612592651
1775248142.7271318,11.605,682.49,1.31248,0.0076,ON,ON,39.4881821,0.00617264118
1775248143.3485637,12.083,276.21,1.31254,1.2762,ON,ON,39.487072,0.00615706993
1775248144.2783515,12.083,173.11,1.3125,1.3133,ON,ON,24.1889877,0.00285588042
1775248144.9010637,12.148,172.53,1.31237,1.3125,ON,ON,39.484623,1.38720775
1775248145.828116,4.764,169.54,1.31246,1.3125,ON,ON,4.21481037,1.51173532
1775248146.4476476,3.233,166.01,1.31246,1.3128,ON,ON,2.02827096,1.31165886
1775248147.3765657,4.124,164.37,1.31344,1.2735,ON,ON,1.83433199,1.39819527
1775248148.001095,11.181,682.49,1.3126,0.0076,ON,ON,3.4974606,1.30504096
1775248148.9304411,11.996,682.5,1.31246,0.0078,ON,ON,39.4695435,0.00618941104
1775248149.5525944,11.692,682.48,1.3125,1.1035,ON,ON,39.4762383,0.00643735938
1775248150.4792886,11.833,682.49,1.31239,0.0083,ON,ON,13.666954,1.31047904
1775248151.0993712,9.325,172.36,1.31323,1.3146,ON,ON,27.9162426,1.30613089
1775248152.0907888,6.393,175.74,0.03347,1.3127,OFF,ON,2.35306549,1.31204569
1775248152.6537173,0.0,171.05,0.01155,1.3125,OFF,ON,1.77751827,1.31087792
1775248153.58297,0.0,160.41,0.01143,1.3125,OFF,ON,1.90739894,1.31240869
1775248154.2052813,0.0,682.49,0.0,0.0072,OFF,ON,3.84284925,0.00218510185
1775248155.1323931,0.0,682.5,0.0,0.0074,OFF,ON,38.8331223,0.00561565533
1775248155.7553573,0.0,682.49,0.0,0.0077,OFF,ON,38.8363419,0.00584683474
1775248156.6830726,0.0,682.5,0.0,0.008,OFF,ON,38.8375168,0.00629961025
1775248157.4435935,0.0,517.15,0.0,0.0,OFF,OFF,38.8390694,0.00645412877
1775248158.374198,0.008,356.36,0.0,0.0,OFF,OFF,28.0799522,0.00221384945
1775248158.9973283,0.019,76.0,0.0,0.0,OFF,OFF,20.0426407,0.00220666244
1775248159.9282274,0.019,0.02,0.0,0.0,OFF,OFF,1.7423048,0.00209286972
1775248160.5573788,0.019,0.02,0.0,0.0,OFF,OFF,0.216645017,0.00218749745
1775248161.4834938,0.019,0.02,0.0,0.0,OFF,OFF,0.0236643925,0.00221265154
1775248162.1043153,0.019,0.02,0.0,0.0,OFF,OFF,0.0212975033,0.00221265154
1775248163.7542243,6.925,157.31,1.31173,1.3125,ON,ON,0.0183269121,0.00221265154
1775248164.3757007,6.838,164.09,1.31244,1.3125,ON,ON,1.67490709,1.31171036
1775248165.3054469,4.905,166.51,1.31246,1.3125,ON,ON,1.85107756,1.31171751
1775248165.922598,5.448,163.66,1.31248,1.3125,ON,ON,1.9142133,1.31147921
1775248166.8572042,4.786,165.22,1.31246,1.3125,ON,ON,1.78176093,1.31171513
1775248167.478771,3.744,166.49,1.31248,1.3125,ON,ON,1.79127514,1.31232131
1775248168.4127352,2.332,167.46,1.31248,1.3125,ON,ON,1.76873946,1.31160021
1775248169.0354218,0.975,191.44,1.31277,1.3124,ON,ON,1.76159561,1.31176782
1775248169.9628346,5.839,165.06,1.31256,1.3125,ON,ON,1.7862947,1.31946862
1775248170.587764,5.112,164.73,1.31252,1.3125,ON,ON,3.71758032,1.31151628
1775248171.5148275,4.916,165.56,1.31248,1.3125,ON,ON,1.80209148,1.31241703
