ts,ps_1_voltage,ps_2_voltage,ps_1_current,ps_2_current,ps_1_output_state,ps_2_output_state,V,I,voltage_sum,Applied PS Voltage (calibrated),Applied PS Current (calibrated)
1775248131,0.019,161.21,0.84099,1.3124,ON,ON,0.01931032,0.001861691,161.229,2.136026456,0.00467326
1775248132,9.976,161.74,1.31244,1.3125,ON,ON,1.98224711,1.31164443,171.716,36.66997341,1.25224132
1775248132,9.531,163.83,1.31246,1.3125,ON,ON,1.93255436,1.31158817,173.361,35.79572886,1.252187732
1775248133,9.021,166.18,1.31246,1.3125,ON,ON,2.03410912,1.31244218,175.201,37.58238175,1.253001176
1775248134,8.88,167.77,1.31246,1.3125,ON,ON,2.11289072,1.31209004,176.65,38.96838644,1.252665763
1775248135,9.205,164.46,1.31246,1.3125,ON,ON,2.26218939,1.31176305,173.665,41.59499794,1.252354305
1775248136,6.719,178,1.31246,1.3126,ON,ON,1.91447449,1.31145763,184.719,35.4776497,1.252063393
1775248137,16.415,167.42,1.31231,1.3124,ON,ON,2.51210594,1.37765265,183.835,45.9917798,1.315114149
1775248137,7.848,682.01,1.31281,0.0088,ON,ON,2.05928612,1.30579674,689.858,38.02532071,1.246671395
1775248138,11.019,682.49,1.3125,0.008,ON,ON,39.3136978,0.006324764,693.509,693.4421854,0.008924338
1775248139,12.376,682.49,1.31289,0.0081,ON,ON,39.4883881,0.006422985,694.866,696.5155118,0.009017894
1775248140,7.805,169.02,1.3125,1.3125,ON,ON,23.2131367,1.31617343,176.825,410.185014,1.256555192
1775248140,5.242,169.71,1.31248,1.3125,ON,ON,2.9388566,1.3152535,174.952,53.49960416,1.255678959
1775248141,10.715,682.48,1.31264,0.0078,ON,ON,2.10531569,1.31386042,693.195,38.83511893,1.25435205
1775248142,11.963,682.49,1.31246,0.0075,ON,ON,39.0715599,0.006125927,694.453,689.1822533,0.008734945
1775248143,11.605,682.49,1.31248,0.0076,ON,ON,39.4881821,0.006172641,694.095,696.5118877,0.008779441
1775248143,12.083,276.21,1.31254,1.2762,ON,ON,39.487072,0.00615707,288.293,696.4923577,0.008764609
1775248144,12.083,173.11,1.3125,1.3133,ON,ON,24.1889877,0.00285588,185.193,427.3531606,0.005620226
1775248145,12.148,172.53,1.31237,1.3125,ON,ON,39.484623,1.38720775,184.678,696.4492724,1.324215382
1775248146,4.764,169.54,1.31246,1.3125,ON,ON,4.21481037,1.51173532,174.304,75.94745884,1.442827892
1775248146,3.233,166.01,1.31246,1.3128,ON,ON,2.02827096,1.31165886,169.243,37.479671,1.252255064
1775248147,4.124,164.37,1.31344,1.2735,ON,ON,1.83433199,1.39819527,168.494,34.0677027,1.334680995
1775248148,11.181,682.49,1.3126,0.0076,ON,ON,3.4974606,1.30504096,693.671,63.32712434,1.245951514
1775248149,11.996,682.5,1.31246,0.0078,ON,ON,39.4695435,0.006189411,694.496,696.1839788,0.008795414
1775248150,11.692,682.48,1.3125,1.1035,ON,ON,39.4762383,0.006437359,694.172,696.3017604,0.009031585
1775248150,11.833,682.49,1.31239,0.0083,ON,ON,13.666954,1.31047904,694.323,242.2390217,1.251131286
1775248151,9.325,172.36,1.31323,1.3146,ON,ON,27.9162426,1.30613089,181.685,492.9267561,1.246989673
1775248152,6.393,175.74,0.03347,1.3127,OFF,ON,2.35306549,1.31204569,182.133,43.19378117,1.25262352
1775248153,0,171.05,0.01155,1.3125,OFF,ON,1.77751827,1.31087792,171.05,33.06817892,1.251511219
